,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
"아파트,연립다세대",95,90,138,882,68,902,234,261,14333,3373,7373,93,620,22,2171,312,2810,7,5,0,3,256,0,9817,775,243,1006,341,1885,357,278,5,105,10,6,101,1725,9563
단독주택,95,102,182,954,63,790,280,321,19515,3265,6344,86,757,21,2347,339,2771,13,9,2,6,398,4,17487,800,159,1265,913,3093,891,290,26,34,12,9,76,4789,10863
고속도로,0,3,2,0,0,11,0,1,177,48,111,6,3,0,79,3,23,0,0,1,4,14,0,86,42,1,2,0,19,7,5,1,2578,0,0,0,0,1078
노상,59,126,423,249,30,3324,48,210,49527,18320,52278,227,894,66,13843,987,22966,46,53,21,87,519,13,10727,6188,86,2271,197,4256,1307,750,245,562472,76,7,358,723,32824
백화점,0,0,0,0,0,9,0,2,1828,33,80,0,8,0,8,2,8,0,1,0,1,6,0,164,136,4,17,0,99,1,3,0,1,0,0,1,1,67
슈퍼마켓,1,0,26,0,0,66,2,4,4718,110,285,3,13,1,54,19,110,0,1,0,61,33,2,409,233,4,52,5,447,1,142,0,3,1,1,1,0,650
편의점,1,1,154,4,0,158,3,1,4579,218,936,1,39,0,155,61,207,1,1,0,75,183,3,1223,405,2,55,3,1105,5,10,0,1,4,0,1,1,1267
대형할인매장,0,0,1,0,0,13,0,2,1966,28,37,0,6,0,6,2,14,0,0,0,4,75,0,117,47,1,93,0,129,0,18,0,1,0,0,0,0,88
상점,2,3,36,32,2,175,9,18,9520,471,975,6,68,2,318,81,633,0,3,0,82,584,6,5958,1014,80,171,253,2391,41,2008,29,38,4,1,19,43,3297
"시장,노점",0,4,10,19,2,75,5,30,2998,374,527,3,57,1,224,98,332,3,1,1,26,155,8,1546,304,43,48,90,877,23,650,5,55,8,0,18,8,2029
"숙박업소,목욕탕",21,16,89,1447,47,671,137,26,6736,653,964,54,53,8,350,96,658,0,2,4,6,25,2,1375,167,10,978,90,493,574,260,6,6,13,0,6,62,2135
유흥접객업소,12,25,101,281,36,1639,28,65,13952,5511,10638,33,298,4,5058,841,2391,1,13,28,32,276,10,17132,1074,111,369,702,7483,144,3351,56,5,154,3,121,5,16076
사무실,8,14,33,58,9,411,6,47,6247,1912,2730,50,457,3,839,368,929,348,165,131,110,6758,134,49929,8255,2005,1400,1924,12496,231,1650,102,76,424,14,591,1967,23997
공장,4,4,3,4,0,33,0,21,2412,440,394,8,18,0,216,19,144,6,0,0,0,81,2,1746,560,126,25,12,725,15,216,739,14,93,1,3,1,2563
"공사장,광산",1,0,3,2,0,6,0,4,2384,251,277,3,16,0,150,21,159,4,2,3,0,32,0,2027,365,45,1,1,362,3,7,184,30,21,1,0,0,1186
창고,1,1,0,12,0,6,4,9,1424,38,29,2,2,0,17,2,73,0,0,0,0,4,0,145,103,9,1,31,41,4,45,15,1,0,0,0,0,495
"역,대합실",1,4,3,3,0,222,2,8,1172,181,456,0,15,7,82,24,94,1,0,3,10,23,1,297,373,1,1092,1,203,72,13,10,14,326,2,4,9,1890
지하철,0,0,1,0,0,610,2,5,628,43,234,0,3,0,8,2,17,0,1,0,2,1,0,26,198,0,564,0,38,5,1,0,0,0,0,1,1,86
기타표통수단내,3,9,13,122,16,860,17,3,4924,294,1147,51,25,4,79,34,83,0,1,0,18,6,0,439,788,2,238,4,117,102,6,10,39,1,0,3,4,536
흥행장,0,0,0,6,0,50,0,1,458,48,86,0,2,0,30,1,19,1,2,0,5,44,2,146,61,6,9,64,62,3,12,3,2,0,0,5,13,368
유원지,0,2,21,37,5,180,9,17,1618,514,1128,7,25,1,457,41,133,4,4,0,3,7,0,248,305,1,89,35,55,21,18,1,12,0,0,18,59,543
학교,0,2,2,21,3,227,13,5,2117,484,479,7,42,9,287,141,102,4,6,0,0,35,0,368,137,16,191,1,171,3,11,1,10,3,0,12,15,970
금융기관,0,0,12,1,0,6,1,0,6432,20,63,0,4,1,16,38,92,2,2,5,1428,315,50,13283,913,127,12,10,3011,26,2,0,2,1,0,14,1,322
의료기관,6,6,8,24,2,179,1,16,2077,539,932,75,76,2,162,37,98,7,4,1,8,119,2,1994,173,15,30,0,623,97,1168,72,14,3,0,2,15,1645
종교기관,1,2,6,21,1,39,2,16,1258,124,313,2,25,1,118,11,121,2,0,0,1,31,0,297,100,19,12,1,110,1,12,0,2,0,0,18,5,513
산야,8,6,4,34,1,26,4,11,2705,200,168,1,19,1,142,5,1051,12,7,0,1,13,1,535,100,28,6,30,110,116,95,201,49,2,1,2,25,2755
해상,1,1,0,0,0,1,0,1,40,20,46,0,1,0,28,1,57,1,1,0,0,4,0,114,15,0,0,0,12,0,2,205,100,3,0,0,0,4723
부대,0,0,0,2,0,5,0,0,34,14,42,1,0,0,16,1,0,0,0,0,0,3,0,37,9,0,1,1,4,0,1,0,0,0,1,0,4255,47
구금장소,0,0,0,0,0,3,0,0,1,4,11,0,4,0,1,0,0,5,6,0,0,2,0,11,3,0,1,0,0,0,1,0,0,0,0,0,0,17
공지,0,0,0,3,0,2,0,0,94,15,9,0,1,0,8,0,26,2,0,0,0,1,0,31,15,1,1,0,4,3,2,12,3,0,0,0,7,141
주차장,7,5,44,52,12,110,8,47,11464,873,1865,14,45,2,542,47,6106,0,2,3,0,26,0,328,307,9,27,11,111,43,25,4,1617,0,0,7,0,1236
공중화장실,0,0,2,42,11,66,16,24,462,46,88,3,1,0,49,3,26,0,0,0,0,0,0,0,138,0,700,1,3,29,1,0,0,0,0,0,0,84
피씨방,1,2,6,3,1,43,1,2,2987,78,321,0,11,0,63,61,42,0,1,0,10,27,1,1641,110,5,214,312,249,13,11,0,0,0,1,1,0,1325
기타,44,113,263,763,66,3693,159,545,85435,11739,41554,209,1579,42,9766,1164,15702,107,71,48,787,4385,119,98726,12811,1297,5742,3260,32124,687,3593,604,6209,149,36,491,7815,55147
